trial_number,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,prop_left_o,prop_right_o,pl,pr,mag_ambig,mag_unambig,ml,mr,info_amb,rl,rr
285,2,3,35,15,0.4,0.68,0.6,0.32,25,47,25,47,0.1,0.1,1
194,35,15,3,2,0.7,0.54,0.3,0.46,40,60,60,40,0.1,1,0.1
244,1,4,27,23,0.28,0.56,0.72,0.44,40,74,40,74,0.1,0.1,1
273,45,5,2,3,0.92,0.48,0.08,0.52,58,63,63,58,0.1,1,0.1
251,4,1,8,42,0.78,0.16,0.22,0.84,60,23,60,23,0.1,0.1,1
258,3,2,18,32,0.52,0.36,0.48,0.64,63,8,63,8,0.1,0.1,1
93,18,32,0,5,0.36,0.08,0.64,0.92,71,98,98,71,0.1,1,0.1
267,0,5,16,34,0.04,0.32,0.96,0.68,72,89,72,89,0.1,0.1,1
40,3,2,22,28,0.64,0.44,0.36,0.56,74,107,74,107,0.1,0.1,1
168,4,1,21,29,0.6,0.44,0.4,0.56,87,55,87,55,0.1,0.1,1
154,24,26,3,7,0.48,0.36,0.52,0.64,-94,-115,-115,-94,0.2,1,0.2
228,8,42,5,5,0.16,0.32,0.84,0.68,-91,-84,-84,-91,0.2,1,0.2
246,6,44,5,5,0.12,0.7,0.88,0.3,-73,-26,-26,-73,0.2,1,0.2
147,1,9,18,32,0.08,0.36,0.92,0.64,-70,-97,-70,-97,0.2,0.2,1
262,5,5,31,19,0.4,0.66,0.6,0.34,-54,-74,-54,-74,0.2,0.2,1
275,18,32,6,4,0.34,0.64,0.66,0.36,-49,-21,-21,-49,0.2,1,0.2
120,7,43,1,9,0.14,0.58,0.86,0.42,-44,-20,-20,-44,0.2,1,0.2
145,3,7,31,19,0.36,0.62,0.64,0.38,-38,-81,-38,-81,0.2,0.2,1
51,3,7,41,9,0.12,0.84,0.88,0.16,-34,-94,-34,-94,0.2,0.2,1
6,26,24,8,2,0.56,0.48,0.44,0.52,-29,-68,-68,-29,0.2,1,0.2
210,8,2,14,36,0.76,0.28,0.24,0.72,-21,-7,-21,-7,0.2,0.2,1
33,5,5,20,30,0.52,0.38,0.48,0.62,-9,-13,-9,-13,0.2,0.2,1
96,39,11,2,8,0.78,0.32,0.22,0.68,-4,-11,-11,-4,0.2,1,0.2
191,39,11,2,8,0.78,0.32,0.22,0.68,4,11,11,4,0.2,1,0.2
293,5,5,20,30,0.52,0.38,0.48,0.62,9,13,9,13,0.2,0.2,1
20,8,2,13,37,0.76,0.28,0.24,0.72,21,7,21,7,0.2,0.2,1
36,26,24,8,2,0.56,0.48,0.44,0.52,29,68,68,29,0.2,1,0.2
206,3,7,41,9,0.12,0.84,0.88,0.16,34,94,34,94,0.2,0.2,1
60,3,7,31,19,0.36,0.62,0.64,0.38,38,81,38,81,0.2,0.2,1
220,7,43,1,9,0.14,0.58,0.86,0.42,44,20,20,44,0.2,1,0.2
240,18,32,6,4,0.34,0.64,0.66,0.36,49,21,21,49,0.2,1,0.2
137,5,5,31,19,0.4,0.66,0.6,0.34,54,74,54,74,0.2,0.2,1
62,1,9,18,32,0.08,0.36,0.92,0.64,70,97,70,97,0.2,0.2,1
106,6,44,5,5,0.12,0.7,0.88,0.3,73,26,26,73,0.2,1,0.2
253,8,42,5,5,0.16,0.32,0.84,0.68,91,84,84,91,0.2,1,0.2
129,24,26,3,7,0.48,0.36,0.52,0.64,94,115,115,94,0.2,1,0.2
98,19,31,17,3,0.36,0.84,0.64,0.16,-99,-47,-47,-99,0.4,1,0.4
81,12,8,25,25,0.36,0.48,0.64,0.52,-94,-115,-94,-115,0.4,0.4,1
179,5,15,8,42,0.32,0.16,0.68,0.84,-93,-82,-93,-82,0.4,0.4,1
58,7,13,8,42,0.32,0.16,0.68,0.84,-91,-84,-91,-84,0.4,0.4,1
151,1,19,12,38,0.08,0.24,0.92,0.76,-74,-78,-74,-78,0.4,0.4,1
100,28,22,18,2,0.58,0.74,0.42,0.26,-60,-33,-33,-60,0.4,1,0.4
30,5,15,31,19,0.4,0.66,0.6,0.34,-54,-74,-54,-74,0.4,0.4,1
295,20,30,6,14,0.38,0.26,0.62,0.74,-51,-48,-48,-51,0.4,1,0.4
130,7,43,15,5,0.12,0.7,0.88,0.3,-46,-16,-16,-46,0.4,1,0.4
7,13,37,13,7,0.28,0.76,0.72,0.24,-21,-7,-7,-21,0.4,1,0.4
201,0,20,17,33,0.04,0.32,0.96,0.68,-9,-18,-9,-18,0.4,0.4,1
55,23,27,4,16,0.48,0.08,0.52,0.92,-5,-115,-115,-5,0.4,1,0.4
146,5,15,39,11,0.32,0.78,0.68,0.22,-4,-11,-4,-11,0.4,0.4,1
61,5,15,39,11,0.32,0.78,0.68,0.22,4,11,4,11,0.4,0.4,1
140,23,27,3,17,0.48,0.08,0.52,0.92,5,115,115,5,0.4,1,0.4
286,0,20,17,33,0.04,0.32,0.96,0.68,9,18,9,18,0.4,0.4,1
37,13,37,13,7,0.28,0.76,0.72,0.24,21,7,7,21,0.4,1,0.4
170,7,43,15,5,0.12,0.7,0.88,0.3,46,16,16,46,0.4,1,0.4
65,20,30,5,15,0.38,0.26,0.62,0.74,51,48,48,51,0.4,1,0.4
290,5,15,31,19,0.4,0.66,0.6,0.34,54,74,54,74,0.4,0.4,1
265,28,22,17,3,0.58,0.74,0.42,0.26,60,33,33,60,0.4,1,0.4
126,1,19,12,38,0.08,0.24,0.92,0.76,74,78,74,78,0.4,0.4,1
143,7,13,8,42,0.32,0.16,0.68,0.84,91,84,91,84,0.4,0.4,1
159,5,15,8,42,0.32,0.16,0.68,0.84,93,82,93,82,0.4,0.4,1
26,12,8,25,25,0.36,0.48,0.64,0.52,94,115,94,115,0.4,0.4,1
193,19,31,17,3,0.36,0.84,0.64,0.16,99,47,47,99,0.4,1,0.4
124,3,37,19,31,0.08,0.36,0.92,0.64,-70,-97,-70,-97,0.8,0.8,1
177,12,38,9,31,0.24,0.16,0.76,0.84,-66,-67,-67,-66,0.8,1,0.8
230,19,31,5,35,0.38,0.1,0.62,0.9,-42,-55,-55,-42,0.8,1,0.8
12,18,32,25,15,0.34,0.64,0.66,0.36,-39,-21,-21,-39,0.8,1,0.8
49,15,25,32,18,0.36,0.62,0.64,0.38,-38,-81,-38,-81,0.8,0.8,1
114,33,17,6,34,0.68,0.1,0.32,0.9,-35,-85,-85,-35,0.8,1,0.8
283,41,9,5,35,0.84,0.12,0.16,0.88,-34,-94,-94,-34,0.8,1,0.8
80,27,23,15,25,0.56,0.48,0.44,0.52,-29,-68,-68,-29,0.8,1,0.8
202,3,47,19,21,0.04,0.48,0.96,0.52,-29,-63,-63,-29,0.8,1,0.8
47,18,32,22,18,0.38,0.52,0.62,0.48,-9,-13,-13,-9,0.8,1,0.8
50,20,20,20,30,0.52,0.38,0.48,0.62,-9,-13,-9,-13,0.8,0.8,1
245,19,21,46,4,0.44,0.92,0.56,0.08,-5,-56,-5,-56,0.8,0.8,1
296,4,36,31,19,0.08,0.64,0.92,0.36,-5,-42,-5,-42,0.8,0.8,1
66,4,36,31,19,0.08,0.64,0.92,0.36,5,42,5,42,0.8,0.8,1
105,19,21,46,4,0.44,0.92,0.56,0.08,5,56,5,56,0.8,0.8,1
42,18,32,22,18,0.38,0.52,0.62,0.48,9,13,13,9,0.8,1,0.8
205,20,20,19,31,0.52,0.38,0.48,0.62,9,13,9,13,0.8,0.8,1
25,27,23,16,24,0.56,0.48,0.44,0.52,29,68,68,29,0.8,1,0.8
287,3,47,19,21,0.04,0.48,0.96,0.52,29,63,63,29,0.8,1,0.8
88,41,9,5,35,0.84,0.12,0.16,0.88,34,94,94,34,0.8,1,0.8
169,33,17,6,34,0.68,0.1,0.32,0.9,35,85,85,35,0.8,1,0.8
44,15,25,32,18,0.36,0.62,0.64,0.38,38,81,38,81,0.8,0.8,1
2,18,32,25,15,0.34,0.64,0.66,0.36,39,21,21,39,0.8,1,0.8
115,19,31,6,34,0.38,0.1,0.62,0.9,42,55,55,42,0.8,1,0.8
157,12,38,9,31,0.24,0.16,0.76,0.84,66,67,67,66,0.8,1,0.8
224,3,37,19,31,0.08,0.36,0.92,0.64,70,97,70,97,0.8,0.8,1
0,9,41,37,13,0.16,0.76,0.84,0.24,,,36,21,1,1,1
1,13,37,17,33,0.24,0.36,0.76,0.64,,,78,101,1,1,1
4,6,44,31,19,0.12,0.62,0.88,0.38,,,7,20,1,1,1
8,6,44,21,29,0.12,0.4,0.88,0.6,,,-17,-50,1,1,1
10,9,41,38,12,0.16,0.76,0.84,0.24,,,-36,-21,1,1,1
11,13,37,17,33,0.24,0.36,0.76,0.64,,,-78,-101,1,1,1
14,6,44,31,19,0.12,0.62,0.88,0.38,,,-7,-20,1,1,1
15,2,48,20,30,0.04,0.4,0.96,0.6,,,16,8,1,1,1
18,3,47,33,17,0.04,0.68,0.96,0.32,,,15,53,1,1,1
19,17,33,15,35,0.34,0.3,0.66,0.7,,,22,23,1,1,1
