Eyetracker File is:	Ambi_B32_block4_1807310815.edfScanner Trigger at times:	39000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
40	0.32	0.04	0.04	1	18	9	2800	5000	4400	1500	5700	3700	2500	2000	1	3866	3883	8299	16048	13532	18081	16072	15	1050	bet_left	Nothing yet	1	1	2	5	18	3	0	0	2	18	18	blah	3333333	Not_first_trial	290218	272138	274953	276003	276020	280436	281952	285669	288185	288209	272137
90	0.38	0.52	0.8	1	13	9	5500	5000	3200	1500	3500	0	0	0	2	5766	5783	9000	Not shocked this trial	No picture this trial	10515	blah_de_blah_de_blah	16	249	bet_right	Nothing yet	1	0	2	4	9	1	0	0	0	9	Not fifth trial	blah	3333333	Not_first_trial	306449	295936	301451	301700	301718	304934	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	295934
40	0.96	0.32	1	1	125	44	4700	5000	3100	1500	5300	0	0	0	1	5432	5450	8566	Not shocked this trial	No picture this trial	10082	blah_de_blah_de_blah	17	716	bet_left	Nothing yet	1	0	2	3	0	1	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	320048	309967	314682	315398	315416	318532	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	309966
40	0.62	0.64	0.06	1	40	51	4100	5000	5200	1500	3800	0	0	0	2	4766	4784	10000	Not shocked this trial	No picture this trial	11515	blah_de_blah_de_blah	18	649	bet_left	Nothing yet	0	0	2	5	0	1	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	336879	325366	329481	330130	330148	335364	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	325364
40	0.36	0.62	1	0.8	38	81	4900	5000	2800	1500	3200	0	0	0	1	7432	7450	10266	Not shocked this trial	No picture this trial	11782	blah_de_blah_de_blah	19	2516	bet_left	Nothing yet	0	1	2	3	38	2	0	0	2	38	Not fifth trial	blah	3333333	Not_first_trial	352478	340697	345612	348128	348146	350962	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	340696
90	0.04	0.4	1	1	16	8	4100	5000	3200	1500	3100	3300	2500	2000	2	4400	4417	7634	14982	12466	17015	15006	20	283	bet_right	Nothing yet	0	1	2	4	0	2	0	0	3	0	38	blah	3333333	Not_first_trial	372709	355696	359811	360094	360111	363328	364843	368160	370676	370700	355694
90	0.92	0.6	1	1	58	8	3000	5000	2100	1500	3600	0	0	0	2	3633	3651	5767	Not shocked this trial	No picture this trial	7283	blah_de_blah_de_blah	21	616	bet_right	Nothing yet	0	0	2	3	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	383108	375827	378842	379458	379476	381592	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	375825
90	0.64	0.08	1	0.06	98	65	3700	5000	5400	1500	3000	0	0	0	2	6533	6550	11966	Not shocked this trial	No picture this trial	13482	blah_de_blah_de_blah	22	2816	bet_right	Nothing yet	1	0	2	3	65	0	1	0	1	65	Not fifth trial	blah	3333333	Not_first_trial	400206	386726	390441	393257	393274	398690	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	386724
40	0.24	0.32	0.02	1	88	74	4600	5000	3200	1500	3000	0	0	0	2	5933	5950	9167	Not shocked this trial	No picture this trial	10682	blah_de_blah_de_blah	23	1316	bet_left	Nothing yet	1	1	2	3	88	0	2	0	1	88	Not fifth trial	blah	3333333	Not_first_trial	413904	403224	407839	409155	409173	412389	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	403222
90	0.04	0.68	1	1	15	53	5200	5000	4300	1500	5600	0	0	0	1	5466	5483	9800	Not shocked this trial	No picture this trial	11315	blah_de_blah_de_blah	24	250	bet_right	Nothing yet	0	1	2	5	0	0	2	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	428236	416922	422137	422387	422404	426721	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	416921
