Eyetracker File is:	Ambi_B32_block3_1745310815.edfScanner Trigger at times:	39000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 90	0.2	0.28	1	1	38	42	4400	5000	3500	1500	3500	0	0	0	10017	15949	15967	19483	Not shocked this trial	No picture this trial	20998	blah_de_blah_de_blah	1	1516	bet_right	Nothing yet	1	1	0	5	42	1	0	0	0	42	Not fifth trial	blah	3333333	39762	60759	49778	54194	55710	55728	59244	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	39761
90	0.2	0.32	1	1	80	89	3700	5000	4000	1500	4400	0	0	0	1	4199	4217	8233	Not shocked this trial	No picture this trial	9749	blah_de_blah_de_blah	2	482	bet_right	Nothing yet	0	0	0	5	0	1	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	74025	64277	67993	68475	68493	72509	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	64276
90	0.44	0.12	1	1	114	78	4000	5000	5600	1500	5400	0	0	0	2	5666	5684	11300	Not shocked this trial	No picture this trial	12815	blah_de_blah_de_blah	3	1649	bet_right	Nothing yet	1	1	0	5	78	1	1	0	1	78	Not fifth trial	blah	3333333	Not_first_trial	91256	78443	82458	84107	84125	89741	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	78441
40	0.92	0.48	0.1	1	63	58	4200	5000	5300	1500	5200	0	0	0	2	4700	4717	10033	Not shocked this trial	No picture this trial	11549	blah_de_blah_de_blah	4	483	bet_left	Nothing yet	0	0	0	2	0	1	1	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	108221	96674	100889	101372	101389	106705	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	96672
40	0.04	0.4	1	1	5	25	4300	5000	2600	1500	3600	2000	2500	2300	2	5033	5050	7667	13715	11200	16032	13716	5	716	bet_left	Nothing yet	0	1	0	2	5	2	1	0	2	5	0	blah	3333333	Not_first_trial	129469	113439	117754	118470	118487	121104	122619	124637	127152	127153	113437
40	0.64	0.72	0.06	1	74	84	3900	5000	5100	1500	3500	0	0	0	2	4266	4284	9400	Not shocked this trial	No picture this trial	10915	blah_de_blah_de_blah	6	349	bet_left	Nothing yet	0	1	0	3	74	0	1	0	0	74	Not fifth trial	blah	3333333	Not_first_trial	144000	133087	137002	137351	137369	142485	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	133085
90	0.56	0.48	0.2	1	68	29	4900	5000	4300	1500	4200	0	0	0	1	5399	5417	9733	Not shocked this trial	No picture this trial	11248	blah_de_blah_de_blah	7	483	bet_right	Nothing yet	0	0	0	3	0	0	1	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	158765	147518	152433	152916	152934	157250	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	147517
90	0.28	0.76	0.4	1	7	21	4100	5000	5400	1500	3600	0	0	0	1	4566	4583	10000	Not shocked this trial	No picture this trial	11515	blah_de_blah_de_blah	8	449	bet_right	Nothing yet	1	1	0	3	21	1	1	0	1	21	Not fifth trial	blah	3333333	Not_first_trial	174497	162983	167099	167548	167565	172982	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	162982
40	0.12	0.4	1	1	17	50	5300	5000	4000	1500	4500	0	0	0	2	5566	5584	9600	Not shocked this trial	No picture this trial	11116	blah_de_blah_de_blah	9	249	bet_left	Nothing yet	1	1	0	3	17	2	1	0	1	17	Not fifth trial	blah	3333333	Not_first_trial	189229	178115	183430	183679	183697	187713	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	178113
90	0.56	0.48	0.02	1	68	29	5100	5000	2000	1500	4000	3300	2500	2700	2	5433	5450	7467	14815	12300	17548	14839	10	316	bet_right	Nothing yet	0	1	2	4	0	2	1	0	2	0	17	blah	3333333	Not_first_trial	211293	193747	198862	199178	199195	201212	202727	206045	208560	208584	193745
40	0.56	0.1	0.06	1	25	16	4500	5000	4500	1500	5800	0	0	0	1	6265	6283	10799	Not shocked this trial	No picture this trial	12315	blah_de_blah_de_blah	11	1749	bet_left	Nothing yet	1	1	2	4	25	1	0	0	0	25	Not fifth trial	blah	3333333	Not_first_trial	227625	215311	219826	221575	221593	226109	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	215310
