Eyetracker File is:	Ambi_B32_block1_1710310815.edfScanner Trigger at times:	54000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 90	0.64	0.4	1	1	72	60	5200	5000	3200	1500	5100	0	0	0	10004	17969	17986	21203	Not shocked this trial	No picture this trial	22718	blah_de_blah_de_blah	1	2749	bet_right	Nothing yet	1	0	0	1	60	0	1	0	0	60	Not fifth trial	blah	3333333	54357	77074	64360	69576	72325	72343	75559	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	54356
40	0.12	0.06	1	1	30	29	2700	5000	3500	1500	3800	0	0	0	1	3566	3583	7100	Not shocked this trial	No picture this trial	8615	blah_de_blah_de_blah	2	850	bet_left	Nothing yet	1	1	0	4	30	1	1	0	0	30	Not fifth trial	blah	3333333	Not_first_trial	90806	82192	84907	85757	85774	89291	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	82191
90	0.16	0.68	1	1	18	47	2900	5000	3100	1500	5000	0	0	0	1	7232	7249	10366	Not shocked this trial	No picture this trial	11881	blah_de_blah_de_blah	3	4316	bet_right	Nothing yet	1	1	0	1	47	2	1	0	0	47	Not fifth trial	blah	3333333	Not_first_trial	106504	94624	97539	101855	101873	104989	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	94623
40	0.84	0.12	0.8	1	94	34	3600	5000	4700	1500	5300	0	0	0	1	4266	4283	9000	Not shocked this trial	No picture this trial	10515	blah_de_blah_de_blah	4	650	bet_left	Nothing yet	1	0	0	3	0	2	1	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	122036	111522	115137	115787	115804	120521	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	111521
40	0.76	0.06	1	1	116	42	3900	5000	3300	1500	4800	3800	2500	4000	2	4300	4317	7634	15482	12967	19531	15518	5	383	bet_left	Nothing yet	1	0	3	3	0	2	1	0	2	0	47	blah	3333333	Not_first_trial	146883	127354	131269	131652	131669	134986	136501	140319	142834	142870	127352
40	0.38	0.26	0.4	1	48	51	3400	5000	5300	1500	4200	0	0	0	1	7265	7283	12599	Not shocked this trial	No picture this trial	14115	blah_de_blah_de_blah	6	3849	bet_left	Nothing yet	1	0	3	4	0	0	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	165815	151701	155116	158965	158983	164299	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	151700
40	0.08	0.64	1	0.8	5	42	4400	5000	2700	1500	3200	0	0	0	2	4766	4784	7500	Not shocked this trial	No picture this trial	9016	blah_de_blah_de_blah	7	349	bet_left	Nothing yet	1	1	3	1	5	1	0	0	1	5	Not fifth trial	blah	3333333	Not_first_trial	179047	170033	174448	174797	174815	177531	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	170031
40	0.68	0.56	1	1	39	42	5300	5000	3800	1500	4000	0	0	0	1	5599	5617	9433	Not shocked this trial	No picture this trial	10949	blah_de_blah_de_blah	8	282	bet_left	Nothing yet	0	1	3	2	39	2	0	0	1	39	Not fifth trial	blah	3333333	Not_first_trial	193212	182264	187580	187862	187880	191696	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	182263
40	0.08	0.36	1	0.08	70	97	3400	5000	2100	1500	5100	0	0	0	1	5866	5884	8000	Not shocked this trial	No picture this trial	9516	blah_de_blah_de_blah	9	2449	bet_left	Nothing yet	1	0	3	1	0	2	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	206744	197229	200645	203094	203112	205228	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	197228
90	0.74	0.58	1	0.04	60	33	4700	5000	3500	1500	4600	2500	2500	3700	1	5999	6017	9533	16081	13566	19797	16082	10	1283	bet_right	Nothing yet	0	0	0	4	0	2	0	0	3	0	0	blah	3333333	Not_first_trial	231657	211861	216576	217859	217877	221393	222908	225426	227941	227942	211860
